local_hour,region,NO2,OZONE,PM2.5
2024-12-01 14:00:00,staten_island,4.0,,32.666666666666664
2024-12-01 15:00:00,bronx,,22.0,40.0
2024-12-01 15:00:00,brooklyn,,,47.5
2024-12-01 15:00:00,manhattan,8.0,22.0,36.8
2024-12-01 15:00:00,queens,,24.0,48.0
2024-12-01 15:00:00,staten_island,4.0,,34.333333333333336
2024-12-01 16:00:00,bronx,,23.5,37.666666666666664
2024-12-01 16:00:00,brooklyn,,,46.0
2024-12-01 16:00:00,manhattan,10.0,24.0,36.0
2024-12-01 16:00:00,queens,,26.0,45.333333333333336
2024-12-01 16:00:00,staten_island,7.0,,35.333333333333336
2024-12-01 17:00:00,bronx,,23.5,38.333333333333336
2024-12-01 17:00:00,brooklyn,,,47.5
2024-12-01 17:00:00,manhattan,13.0,24.5,35.4
2024-12-01 17:00:00,queens,,26.0,46.0
2024-12-01 17:00:00,staten_island,8.0,,35.0
2024-12-01 18:00:00,bronx,,21.0,41.666666666666664
2024-12-01 18:00:00,brooklyn,,,47.0
2024-12-01 18:00:00,manhattan,18.0,22.0,39.8
2024-12-01 18:00:00,queens,,25.0,45.333333333333336
2024-12-01 18:00:00,staten_island,17.0,,33.333333333333336
2024-12-01 19:00:00,bronx,,20.5,43.666666666666664
2024-12-01 19:00:00,brooklyn,,,48.0
2024-12-01 19:00:00,manhattan,22.0,20.5,43.0
2024-12-01 19:00:00,queens,,21.0,46.0
2024-12-01 19:00:00,staten_island,18.0,,33.333333333333336
2024-12-01 20:00:00,bronx,,19.0,44.0
2024-12-01 20:00:00,brooklyn,,,49.5
2024-12-01 20:00:00,manhattan,20.0,20.5,45.2
2024-12-01 20:00:00,queens,,22.0,47.333333333333336
2024-12-01 20:00:00,staten_island,25.0,,32.0
2024-12-01 21:00:00,bronx,,16.5,44.666666666666664
2024-12-01 21:00:00,brooklyn,,,-299.6666666666667
2024-12-01 21:00:00,manhattan,20.0,18.0,43.4
2024-12-01 21:00:00,queens,,19.0,48.0
2024-12-01 21:00:00,staten_island,23.0,,36.333333333333336
2024-12-01 22:00:00,bronx,,15.0,44.0
2024-12-01 22:00:00,brooklyn,,,46.0
2024-12-01 22:00:00,manhattan,20.0,16.5,44.6
2024-12-01 22:00:00,queens,,19.0,46.333333333333336
2024-12-01 22:00:00,staten_island,23.0,,40.0
2024-12-01 23:00:00,bronx,,14.5,43.0
2024-12-01 23:00:00,brooklyn,,,44.666666666666664
2024-12-01 23:00:00,manhattan,21.0,15.5,44.2
2024-12-01 23:00:00,queens,,17.0,45.0
2024-12-01 23:00:00,staten_island,22.0,,40.666666666666664
2024-12-02 00:00:00,bronx,,14.0,41.333333333333336
2024-12-02 00:00:00,brooklyn,,,43.0
2024-12-02 00:00:00,manhattan,21.0,14.5,42.0
2024-12-02 00:00:00,queens,,16.0,43.333333333333336
2024-12-02 00:00:00,staten_island,25.0,,39.666666666666664
2024-12-02 01:00:00,bronx,,13.5,40.0
2024-12-02 01:00:00,brooklyn,,,41.666666666666664
2024-12-02 01:00:00,manhattan,25.0,13.5,38.4
2024-12-02 01:00:00,queens,,15.0,41.666666666666664
2024-12-02 01:00:00,staten_island,26.0,,40.666666666666664
2024-12-02 02:00:00,bronx,,13.0,39.0
2024-12-02 02:00:00,brooklyn,,,41.0
2024-12-02 02:00:00,manhattan,22.0,12.5,38.6
2024-12-02 02:00:00,queens,,15.0,40.666666666666664
2024-12-02 02:00:00,staten_island,18.0,,41.0
2024-12-02 03:00:00,bronx,,13.0,37.0
2024-12-02 03:00:00,brooklyn,,,38.666666666666664
2024-12-02 03:00:00,manhattan,25.0,13.0,35.4
2024-12-02 03:00:00,queens,,15.0,38.0
2024-12-02 03:00:00,staten_island,25.0,,37.0
2024-12-02 04:00:00,bronx,,13.5,37.0
2024-12-02 04:00:00,brooklyn,,,39.0
2024-12-02 04:00:00,manhattan,25.0,12.0,35.6
2024-12-02 04:00:00,queens,,14.0,38.0
2024-12-02 04:00:00,staten_island,25.0,,38.666666666666664
2024-12-02 05:00:00,bronx,,12.5,37.0
2024-12-02 05:00:00,brooklyn,,,39.0
2024-12-02 05:00:00,manhattan,29.0,11.0,37.2
2024-12-02 05:00:00,queens,,12.0,38.333333333333336
2024-12-02 05:00:00,staten_island,26.0,,38.0
2024-12-02 06:00:00,bronx,,12.5,37.333333333333336
2024-12-02 06:00:00,brooklyn,,,40.333333333333336
2024-12-02 06:00:00,manhattan,29.0,9.5,37.6
2024-12-02 06:00:00,queens,,11.0,39.666666666666664
2024-12-02 06:00:00,staten_island,29.0,,41.333333333333336
2024-12-02 07:00:00,bronx,,12.0,38.0
2024-12-02 07:00:00,brooklyn,,,41.666666666666664
2024-12-02 07:00:00,manhattan,27.0,9.0,37.2
2024-12-02 07:00:00,queens,,12.0,41.0
2024-12-02 07:00:00,staten_island,27.0,,40.666666666666664
2024-12-02 08:00:00,bronx,,12.5,37.666666666666664
2024-12-02 08:00:00,brooklyn,,,41.0
2024-12-02 08:00:00,manhattan,25.0,12.0,34.0
2024-12-02 08:00:00,queens,,12.0,40.333333333333336
2024-12-02 08:00:00,staten_island,25.0,,38.0
2024-12-02 09:00:00,bronx,,15.0,37.666666666666664
2024-12-02 09:00:00,brooklyn,,,42.666666666666664
2024-12-02 09:00:00,manhattan,17.0,14.5,-173.2
2024-12-02 09:00:00,queens,,12.0,42.666666666666664
2024-12-02 09:00:00,staten_island,15.0,,35.333333333333336
2024-12-02 10:00:00,bronx,,14.5,37.666666666666664
2024-12-02 10:00:00,brooklyn,,,41.666666666666664
2024-12-02 10:00:00,manhattan,34.0,13.0,29.6
2024-12-02 10:00:00,queens,,13.0,41.666666666666664
2024-12-02 10:00:00,staten_island,11.0,,36.666666666666664
2024-12-02 11:00:00,bronx,,18.5,36.0
2024-12-02 11:00:00,brooklyn,,,43.0
2024-12-02 11:00:00,manhattan,24.0,17.0,29.0
2024-12-02 11:00:00,queens,,16.0,43.0
2024-12-02 11:00:00,staten_island,8.0,,31.333333333333332
2024-12-02 12:00:00,bronx,,19.0,32.333333333333336
2024-12-02 12:00:00,brooklyn,,,40.666666666666664
2024-12-02 12:00:00,manhattan,13.0,19.0,27.2
2024-12-02 12:00:00,queens,,18.0,40.666666666666664
2024-12-02 12:00:00,staten_island,8.0,,29.0
2024-12-02 13:00:00,bronx,,18.5,30.666666666666668
2024-12-02 13:00:00,brooklyn,,,36.666666666666664
2024-12-02 13:00:00,manhattan,15.0,19.0,27.6
2024-12-02 13:00:00,queens,,19.0,36.666666666666664
2024-12-02 13:00:00,staten_island,11.0,,26.333333333333332
2024-12-02 14:00:00,bronx,,18.5,29.0
2024-12-02 14:00:00,brooklyn,,,35.333333333333336
2024-12-02 14:00:00,manhattan,12.0,18.0,26.8
2024-12-02 14:00:00,queens,,19.0,35.0
2024-12-02 14:00:00,staten_island,8.0,,24.0
2024-12-02 15:00:00,bronx,,17.0,30.333333333333332
2024-12-02 15:00:00,brooklyn,,,33.333333333333336
2024-12-02 15:00:00,manhattan,18.0,17.0,29.8
2024-12-02 15:00:00,queens,,18.0,34.333333333333336
2024-12-02 15:00:00,staten_island,10.0,,23.666666666666668
2024-12-02 16:00:00,bronx,,17.0,30.666666666666668
2024-12-02 16:00:00,brooklyn,,,35.333333333333336
2024-12-02 16:00:00,manhattan,16.0,17.5,30.0
